data,ativo,valor
2020-03-20,ETH-USD,28.248146057128906
2020-03-20,USDT-USD,0.06209897994995117
2020-03-21,BTC-USD,445.31201171875
2020-03-21,ETH-USD,8.80865478515625
2020-03-21,USDT-USD,0.02982395887374878
2020-03-22,BTC-USD,535.9833984375
2020-03-22,ETH-USD,13.2423095703125
2020-03-22,USDT-USD,0.031741976737976074
2020-03-23,BTC-USD,658.93017578125
2020-03-23,ETH-USD,13.043724060058594
2020-03-23,USDT-USD,0.045111000537872314
2020-03-24,BTC-USD,377.95654296875
2020-03-24,ETH-USD,8.779754638671875
2020-03-24,USDT-USD,0.028499960899353027
2020-03-25,BTC-USD,355.5849609375
2020-03-25,ETH-USD,7.0995635986328125
2020-03-25,USDT-USD,0.020653069019317627
2020-03-26,BTC-USD,144.5009765625
2020-03-26,ETH-USD,3.9445343017578125
2020-03-26,USDT-USD,0.01730901002883911
2020-03-27,BTC-USD,327.134765625
2020-03-27,ETH-USD,5.964752197265625
2020-03-27,USDT-USD,0.03577899932861328
2020-03-28,BTC-USD,349.6630859375
2020-03-28,ETH-USD,7.070556640625
2020-03-28,USDT-USD,0.028658032417297363
2020-03-29,BTC-USD,330.38134765625
2020-03-29,ETH-USD,5.724037170410156
2020-03-29,USDT-USD,0.01860100030899048
2020-03-30,BTC-USD,613.96142578125
2020-03-30,ETH-USD,8.621788024902344
2020-03-30,USDT-USD,0.01700294017791748
2020-03-31,BTC-USD,130.35302734375
2020-03-31,ETH-USD,2.621246337890625
2020-03-31,USDT-USD,0.015017032623291016
2020-04-01,BTC-USD,410.2001953125
2020-04-01,ETH-USD,5.9036102294921875
2020-04-01,USDT-USD,0.036595046520233154
2020-04-02,BTC-USD,492.3291015625
2020-04-02,ETH-USD,11.054916381835938
2020-04-02,USDT-USD,0.031100988388061523
2020-04-03,BTC-USD,329.884765625
2020-04-03,ETH-USD,7.280487060546875
2020-04-03,USDT-USD,0.013202011585235596
2020-04-04,BTC-USD,182.46875
2020-04-04,ETH-USD,5.2554779052734375
2020-04-04,USDT-USD,0.022276997566223145
2020-04-05,BTC-USD,167.48486328125
2020-04-05,ETH-USD,4.0264434814453125
2020-04-05,USDT-USD,0.009540021419525146
2020-04-06,BTC-USD,488.8916015625
2020-04-06,ETH-USD,25.728042602539062
2020-04-06,USDT-USD,0.021824955940246582
2020-04-07,BTC-USD,291.22509765625
2020-04-07,ETH-USD,11.000808715820312
2020-04-07,USDT-USD,0.019813954830169678
2020-04-08,BTC-USD,202.91796875
2020-04-08,ETH-USD,8.717071533203125
2020-04-08,USDT-USD,0.02310001850128174
2020-04-09,BTC-USD,162.35400390625
2020-04-09,ETH-USD,4.9106597900390625
2020-04-09,USDT-USD,0.015085935592651367
2020-04-10,BTC-USD,501.34033203125
2020-04-10,ETH-USD,16.035293579101562
2020-04-10,USDT-USD,0.022544026374816895
2020-04-11,BTC-USD,136.14892578125
2020-04-11,ETH-USD,5.869232177734375
2020-04-11,USDT-USD,0.020967066287994385
2020-04-12,BTC-USD,308.869140625
2020-04-12,ETH-USD,8.196441650390625
2020-04-12,USDT-USD,0.01837003231048584
2020-04-13,BTC-USD,297.35693359375
2020-04-13,ETH-USD,9.135208129882812
2020-04-13,USDT-USD,0.03288000822067261
2020-04-14,BTC-USD,164.73583984375
2020-04-14,ETH-USD,5.078338623046875
2020-04-14,USDT-USD,0.013926982879638672
2020-04-15,BTC-USD,295.26171875
2020-04-15,ETH-USD,7.9082794189453125
2020-04-15,USDT-USD,0.015256047248840332
2020-04-16,BTC-USD,578.9462890625
2020-04-16,ETH-USD,22.7978515625
2020-04-16,USDT-USD,0.02869802713394165
2020-04-17,BTC-USD,116.85107421875
2020-04-17,ETH-USD,4.5243377685546875
2020-04-17,USDT-USD,0.01459592580795288
2020-04-18,BTC-USD,180.70947265625
2020-04-18,ETH-USD,16.322402954101562
2020-04-18,USDT-USD,0.01444101333618164
2020-04-19,BTC-USD,113.46728515625
2020-04-19,ETH-USD,7.9781036376953125
2020-04-19,USDT-USD,0.018017053604125977
2020-04-20,BTC-USD,404.78759765625
2020-04-20,ETH-USD,15.76226806640625
2020-04-20,USDT-USD,0.01643306016921997
